NP,Bacteria,ATCC(species),NP_Synthesis,Drug,Drug_dose (μg/disk),NP_concentration (μg/disk),NP size_min (nm),NP size_max (nm),NP size_avg (nm),shape,method,ZOI_drug (mm),ZOI_NP,ZOI_drug_NP,fold_increase_in_antibacterial_activity (%),Zeta_potential (mV),MDR,FIC,Effect,ChEBI ID,reference,doi,time (hr),Coat with antimicrobial peptide,combined MIC,peptide MIC,synergy index( Vantibiotic+AgNPs/(Vantibiotic + VAgNPs - Vantibiotic X VAgNPs).)
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,20,,20,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,20,,20,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,23,,23,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Polymyxin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,13,,13,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,7,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Erythromycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,8,0.3,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Nalidixic acid,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,11,,12,0.2,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Rifampicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,13,,13,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,21,,21,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,18,,18,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,22,,22,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Nitrofurantoin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,9,,9,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Enterobacter cloacae,,green_synthesis using Dioscorea bulbifera tuber extract ,Trimethoprim,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,16,,16,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,10,,18,2.2,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,17,,17,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,14,,16,0.3,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,25,11.8,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Amoxicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,12,,12,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,29,,29,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,10,,10,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,15,,15,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,18,,18,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,9,,18,3,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,7,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,7,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Polymyxin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,8,0.3,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,18,,19,0.1,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Erythromycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,8,0.3,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Nalidixic acid,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,14,3,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Rifampicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,15,,15,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,27,,27,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,12,,12,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,26,,26,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Nitrofurantoin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,8,,8,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Escherichia coli,,green_synthesis using Dioscorea bulbifera tuber extract ,Trimethoprim,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,16,,17,0.1,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,23,,23,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,23,,23,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,22,,22,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,24,,24,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Amoxicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,10,,10,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,10,,10,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,13,,13,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,17,,17,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,25,,25,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,17,,17,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,13,,15,0.3,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,14,,17,0.5,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Polymyxin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,10,,10,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,23,,23,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Erythromycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,18,,18,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Nalidixic acid,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,8,,8,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Rifampicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,16,,16,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,25,,25,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,24,,24,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,17,,17,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Nitrofurantoin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,10,,12,0.4,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Haemophilus influenzae,,green_synthesis using Dioscorea bulbifera tuber extract ,Trimethoprim,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,13,2.4,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,17,,17,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,18,,18,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,9,0.7,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,22,,22,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Amoxicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,10,1,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,15,3.6,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,16,4.2,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,18,,18,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,15,3.6,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,9,,9,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,16,,16,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,16,,16,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Polymyxin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,16,,16,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,13,2.4,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Erythromycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,11,1.5,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Nalidixic acid,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,7,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Rifampicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,10,,15.3,1.3,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,18,,18,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,13,,13,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,12,1.9,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Nitrofurantoin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,16,4.2,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis using Dioscorea bulbifera tuber extract ,Trimethoprim,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,7,,16,4.2,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,20,,26,0.7,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,30,,42,1,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,26,,26,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,28,,28,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Amoxicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,40,,40,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,22,,50,4.2,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,46,,48,0.1,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,40,,40,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,48,,48,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,32,,32,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,47,,47,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,30,,30,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Polymyxin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,16,,18,0.3,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,24,,25,0.1,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Erythromycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,25,,27,0.2,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Nalidixic acid,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,14,,14,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Rifampicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,44,,44,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,34,,38,0.2,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,34,,34,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,32,,32,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Nitrofurantoin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,8,,31,14,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Neisseria mucosa,,green_synthesis using Dioscorea bulbifera tuber extract ,Trimethoprim,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,25,,26,0.1,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Proteus mirabilis,,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,17,,17,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Proteus mirabilis,,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,20,,20,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Proteus mirabilis,,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,17,,17,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Proteus mirabilis,,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,20,,20,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
Ag,Proteus mirabilis,,green_synthesis using Dioscorea bulbifera tuber extract ,Amoxicillin,500,30,8,20,13.5,nanorods and triangles,disc_diffusion,16,,16,0,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,,,,,,
